Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
DNMT3B,SCMH1,Q9UBC3,Q96GD3,IID,,,,
DNMT3B,PACSIN1,Q9UBC3,Q9BY11,IID,,,,
DNMT3B,SP1,Q9UBC3,P08047,IID,,,,
DNMT3B,EREG,Q9UBC3,O14944,IID,,,,
DNMT3B,NDC1,Q9UBC3,Q9BTX1,IID,,,,
DNMT3B,UBE2W,Q9UBC3,Q96B02,IID,,,,
DNMT3B,RFWD3,Q9UBC3,Q6PCD5,IID,,,,
DNMT3B,PLEKHB1,Q9UBC3,Q9UF11,IID,,,,
DNMT3B,RAD51,Q9UBC3,Q06609,IID,,,,
DNMT3B,BCL11B,Q9UBC3,Q9C0K0,IID,,,,
DNMT3B,SFRP2,Q9UBC3,Q96HF1,IID,,,,
DNMT3B,MAP3K1,Q9UBC3,Q13233,IID,,,,
DNMT3B,HIST1H1A,Q9UBC3,Q02539,IID,,,,
DNMT3B,CUL1,Q9UBC3,Q13616,IID,,,,
DNMT3B,CHRD,Q9UBC3,Q9H2X0,IID,,,,
DNMT3B,HDAC1,Q9UBC3,Q13547,IID,,,,
DNMT3B,MIER1,Q9UBC3,Q8N108,IID,,,,
DNMT3B,CHAF1A,Q9UBC3,Q13111,IID,,,,
DNMT3B,ZNF274,Q9UBC3,Q96GC6,IID,,,,
DNMT3B,POLE3,Q9UBC3,Q9NRF9,IID,,,,
DNMT3B,UGGT1,Q9UBC3,Q9NYU2,IID,,,,
DNMT3B,ESR1,Q9UBC3,P03372,IID,,,,
DNMT3B,CUL5,Q9UBC3,Q93034,IID,,,,
DNMT3B,SH3PXD2B,Q9UBC3,A1X283,IID,,,,
DNMT3B,LIMA1,Q9UBC3,Q9UHB6,IID,,,,
DNMT3B,RELA,Q9UBC3,Q04206,IID,,,,
DNMT3B,HIPK2,Q9UBC3,Q9H2X6,IID,,,,
DNMT3B,DAXX,Q9UBC3,Q9UER7,IID,,,,
DNMT3B,NSD2,Q9UBC3,O96028,IID,,,,
DNMT3B,MID1,Q9UBC3,O15344,IID,,,,
DNMT3B,PAF1,Q9UBC3,Q8N7H5,IID,,,,
DNMT3B,PHF1,Q9UBC3,O43189,IID,,,,
DNMT3B,CTR9,Q9UBC3,Q6PD62,IID,,,,
DNMT3B,SETDB2,Q9UBC3,Q96T68,IID,,,,
DNMT3B,POLR2A,Q9UBC3,P24928,IID,,,,
DNMT3B,KMT2B,Q9UBC3,Q9UMN6,IID,,,,
DNMT3B,MAP3K11,Q9UBC3,Q16584,IID,,,,
DNMT3B,BRCA1,Q9UBC3,P38398,IID,,,,
DNMT3B,UBA2,Q9UBC3,Q9UBT2,IID,,,,
DNMT3B,PLEKHJ1,Q9UBC3,Q9NW61,IID,,,,
DNMT3B,NCAPH,Q9UBC3,Q15003,IID,,,,
DNMT3B,SND1,Q9UBC3,Q7KZF4,IID,,,,
DNMT3B,CEP72,Q9UBC3,Q9P209,IID,,,,
DNMT3B,KIF4A,Q9UBC3,O95239,IID,,,,
DNMT3B,DGCR8,Q9UBC3,Q8WYQ5,IID,,,,
DNMT3B,CXCL10,Q9UBC3,P02778,IID,,,,
DNMT3B,NSD1,Q9UBC3,Q96L73,IID,,,,
DNMT3B,SHH,Q9UBC3,Q15465,IID,,,,
DNMT3B,POLR2H,Q9UBC3,P52434,IID,,,,
DNMT3B,KMT2A,Q9UBC3,Q03164,IID,,,,
DNMT3B,MUM1,Q9UBC3,Q2TAK8,IID,,,,
DNMT3B,MKI67,Q9UBC3,P46013,IID,,,,
DNMT3B,XRCC4,Q9UBC3,Q13426,IID,,,,
DNMT3B,NRIP1,Q9UBC3,P48552,IID,,,,
DNMT3B,PRMT1,Q9UBC3,Q99873,IID,,,,
DNMT3B,SETDB1,Q9UBC3,Q15047,IID,,,,
DNMT3B,SMARCA4,Q9UBC3,P51532,IID,,,,
DNMT3B,MTA2,Q9UBC3,O94776,IID,,,,
DNMT3B,KMT2E,Q9UBC3,Q8IZD2,IID,,,,
DNMT3B,RANBP2,Q9UBC3,P49792,IID,,,,
DNMT3B,SETD2,Q9UBC3,Q9BYW2,IID,,,,
